"HolderAddress","Balance","PendingBalanceUpdate"
"0x00a49164313aa4f431a4e8ad3cca23d8c14958f0","200","No"
"0x00a574a68ea907543306b934f0ef0ed60586a2cf","500.000002640329","No"
"0x00a63ff74d9135e0b45ba6ab9593263b7e9ea711","200","No"
"0x00a7a3bb5cb367a95371522a9dc6d3d7231aebf6","200","No"
"0x00a806c6bd90f2f425d0253f72d097194e9a3640","100","No"
"0x00aa955690169c55ffbd8dc96d27ad6e735a9907","100","No"
"0x00ac60244df04dfc07146f037d14f93320af57c9","350","No"
"0x00ad02ababe584e40d948ef7a4f9812643e59960","30.00361843","No"
"0x00ad2051d715dba7b5e1842bb07e0cc0c129384a","150","No"
"0x00ae6e5344cb45dc550f5d833a4e934ca9b1b7f6","200","No"
"0x00aec73b737bf387c60094f993b8010f70c06d4e","200","No"
"0x00af41c6ee0b153e973004529db12e35a65748f6","200","No"
"0x00afeeb459f1e03b2e6039dadaa62ba24ede7e0f","100","No"
"0x00b0131ab5a70f4edcdba4cb33ffe2f79e0fc5e1","71.9606618493929","No"
"0x00b089e9cb3372dbd71169a33644b384120792f2","200","No"
"0x00b11850d6cbdc9f28587e907df12f555907b0dc","200","No"
"0x00b553154d5f5d4cbb6aba53113d0dcc3c5901c9","200","No"
"0x00b5ade4ac1fe9ccc08addc2c10070642335117f","200","No"
"0x00b68bbf71ce94705e60e4a6f2de33d11b520974","28991.9791641193","No"
"0x00b6fe278bcb87f2842a6f8aa528e13840662cb2","100","No"
"0x00b74d86e961332501f22160c09e209d5a8e1afa","50","No"
"0x00b74e65c5b273b83bea5181e293f60330ff902f","200","No"
"0x00b82a7bb39f9f30ed7b1b8e5f19379b1f2d4123","200","No"
"0x00b9f3916c31c48580714359348e3435fd8dbf8e","200","No"
"0x00bbaa57228e55c406e9d358845e22393b6d1530","100","No"
"0x00bbe0184d451f7e7520f6ce06917720f0bd5199","100.00002351","No"
"0x00bce9218c6c2939ee5f0b2367b882bdb9103c8c","100","No"
"0x00be17dd6f209cbe6977df5bda97831b795f222b","19.99998","No"
"0x00bef868f8014e548ee2b05f9bc7c228ab0999af","100","No"
"0x00c11a28438d4feb0f01691d7f65c6c7aea1a4fa","20.750262013602","No"
"0x00c332351101f060eb8af1ff9287c7e6722d9e7c","100","No"
"0x00c48f023a37fb0c0327bbcbf668d2f10eedf39f","100","No"
"0x00c5efde69623659c063843cf46c9248216a9fc6","28.8599597948992","No"
"0x00c7cc50196ace55a960201a4dc0c93d4dffa375","450","No"
"0x00c8b1be540fce0d06502ee5c7f07636d963c40c","200","No"
"0x00ca45a5f97b993e6360db3f67426a96ae9f8b01","200","No"
"0x00ca8208df0bd88cfbf3f21c085eb1670ce09f28","200","No"
"0x00cd2ae63db78402cb14d80520b1ab80f68741ee","100.08821595","No"
"0x00cd4797bfc7c66ff6dcfbe250b7f6ecff241c8d","200","No"
"0x00cdccbbe52977dde06e45d330421b5bcecd06fa","99805.7499307703","No"
"0x00cddfbda54ac80e3e04ac6641e17bba2408a259","100","No"
